name,last_season,country_of_birth,date_of_birth,position,foot,height_in_cm,contract_expiration_date,market_value_in_eur,highest_market_value_in_eur
Kendal Ucar,2012,France,1981-09-03 00:00:00,Midfield,both,172.0,,300000.0,400000.0
Mohamadou Sissoko,2016,France,1988-08-08 00:00:00,Defender,right,190.0,,100000.0,400000.0
Casemiro,2024,Brazil,1992-02-23 00:00:00,Midfield,right,185.0,2026-06-30 00:00:00,20000000.0,80000000.0
Rouwen Hennings,2019,Germany,1987-08-28 00:00:00,Attack,left,180.0,2023-06-30 00:00:00,300000.0,2500000.0
Rafa López,2014,Spain,1985-04-09 00:00:00,Defender,right,183.0,,250000.0,3500000.0
Charles,2019,Brazil,1985-02-14 00:00:00,Midfield,right,175.0,,125000.0,3200000.0
Mickaël Chrétien Basser,2016,France,1984-07-10 00:00:00,Defender,right,179.0,,250000.0,6000000.0
Alexander Baumjohann,2016,Germany,1987-01-23 00:00:00,Midfield,right,178.0,,100000.0,2500000.0
Marco Russ,2019,Germany,1985-08-04 00:00:00,Defender,right,190.0,,400000.0,4000000.0
Daniel Halfar,2014,Germany,,Midfield,left,173.0,,400000.0,1750000.0
Carlos Cuéllar,2013,Spain,1981-08-23 00:00:00,Defender,right,190.0,,50000.0,10000000.0
Nicolas Maurice-Belay,2016,France,1985-04-19 00:00:00,Midfield,left,182.0,,1000000.0,4000000.0
Juan Valera,2014,Spain,1984-12-21 00:00:00,Defender,right,184.0,,2000000.0,2500000.0
Marcell Jansen,2014,Germany,1985-11-04 00:00:00,Attack,left,191.0,2024-06-30 00:00:00,4000000.0,12000000.0
Michael Stegmayer,2015,Germany,1985-01-12 00:00:00,Defender,left,176.0,,250000.0,600000.0
Álvaro Mejía,2013,Spain,1982-01-18 00:00:00,Defender,right,182.0,,100000.0,2400000.0
Juanfran Torres,2018,Spain,1985-01-09 00:00:00,Defender,right,181.0,,1000000.0,18000000.0
Alex Baptiste,2016,England,1986-01-31 00:00:00,Defender,right,180.0,,400000.0,2000000.0
César Santin,2013,Brazil,1981-02-24 00:00:00,Attack,right,174.0,,800000.0,3500000.0
Danny Guthrie,2012,England,1987-04-18 00:00:00,Midfield,right,176.0,,100000.0,4700000.0
Markus Steinhöfer,2016,Germany,1986-03-07 00:00:00,Defender,,,,250000.0,3000000.0
Ken Reichel,2019,Germany,1986-12-19 00:00:00,Defender,left,185.0,,225000.0,1500000.0
Wolfgang Hesl,2012,Germany,1986-01-13 00:00:00,Goalkeeper,left,189.0,2024-06-30 00:00:00,125000.0,1000000.0
Kevin-Prince Boateng,2022,Germany,1987-03-06 00:00:00,Midfield,right,186.0,,700000.0,23000000.0
Jérémy Ménez,2017,France,1987-05-07 00:00:00,Attack,right,182.0,2023-06-30 00:00:00,400000.0,19000000.0
Marvin Matip,2016,Germany,1985-09-25 00:00:00,Defender,right,184.0,,250000.0,1750000.0
Felipe,2019,Brazil,1984-07-31 00:00:00,Defender,left,188.0,2023-06-30 00:00:00,25000.0,6500000.0
Luigi Cennamo,2017,Germany,1980-02-07 00:00:00,Goalkeeper,right,187.0,,100000.0,500000.0
Ilan,2013,Brazil,1980-09-18 00:00:00,Attack,right,183.0,,500000.0,7000000.0
Manuel Neuer,2024,Germany,1986-03-27 00:00:00,Goalkeeper,right,193.0,2025-06-30 00:00:00,4000000.0,45000000.0
Steven Taylor,2015,England,1986-01-23 00:00:00,Defender,right,186.0,,300000.0,6500000.0
Joeano,2013,Brazil,1979-08-12 00:00:00,Attack,right,181.0,,400000.0,1500000.0
Steeve Elana,2015,France,1980-07-11 00:00:00,Goalkeeper,right,187.0,,200000.0,3000000.0
Maurício,2012,Brazil,1976-07-05 00:00:00,Defender,right,192.0,,300000.0,1100000.0
Mathieu Flamini,2018,France,1984-03-07 00:00:00,Midfield,right,178.0,,600000.0,13500000.0
Fousseni Diawara,2012,France,1980-08-28 00:00:00,Defender,,,,150000.0,2500000.0
Julien Sablé,2013,France,1980-09-11 00:00:00,Midfield,right,181.0,,500000.0,3500000.0
Hakan Özmert,2022,France,1985-06-03 00:00:00,Midfield,right,178.0,,75000.0,1400000.0
Roberto Lago,2015,Spain,1985-08-30 00:00:00,Defender,left,178.0,,700000.0,3000000.0
Florian Jarjat,2012,France,1980-02-18 00:00:00,Defender,right,181.0,,150000.0,1500000.0
Sascha Mölders,2015,Germany,1985-03-20 00:00:00,Attack,left,185.0,2023-06-30 00:00:00,125000.0,2250000.0
Sébastien Roudet,2013,France,1981-06-16 00:00:00,Midfield,left,174.0,,300000.0,3000000.0
Polat Keser,2013,Germany,1985-12-04 00:00:00,Goalkeeper,right,185.0,,100000.0,300000.0
Hugo Lloris,2023,France,1986-12-26 00:00:00,Goalkeeper,left,188.0,2024-12-31 00:00:00,1200000.0,30000000.0
Anthony Scaramozzino,2014,France,1985-04-30 00:00:00,Defender,left,180.0,,100000.0,650000.0
Nicolas Douchez,2015,France,1980-04-22 00:00:00,Goalkeeper,right,185.0,,250000.0,6200000.0
Julien Faubert,2015,France,1983-08-01 00:00:00,Defender,right,180.0,,100000.0,10500000.0
Kolja Afriyie,2013,Germany,1982-04-06 00:00:00,Defender,,,,300000.0,1200000.0
Curtis Davies,2016,England,1985-03-15 00:00:00,Defender,right,188.0,2023-06-30 00:00:00,100000.0,7000000.0
Marco Sailer,2015,Germany,1985-11-16 00:00:00,Attack,,,,100000.0,500000.0
Matthias Henn,2013,Germany,1985-04-28 00:00:00,Defender,,,,225000.0,600000.0
Olivier Auriac,2015,France,1983-09-14 00:00:00,Midfield,right,172.0,,250000.0,1000000.0
Maicon,2015,Brazil,1981-07-26 00:00:00,Defender,right,185.0,,500000.0,32000000.0
Benoît Assou-Ekotto,2017,France,1984-03-24 00:00:00,Defender,left,178.0,,1000000.0,13000000.0
Salim Arrache,2014,France,1982-07-14 00:00:00,Attack,left,187.0,,250000.0,2000000.0
Denis Epstein,2018,Germany,1986-07-02 00:00:00,Attack,left,180.0,,100000.0,2250000.0
Betão,2014,Brazil,1983-11-11 00:00:00,Defender,right,180.0,,100000.0,4500000.0
Michael Parensen,2019,Germany,1986-06-24 00:00:00,Defender,left,180.0,,250000.0,800000.0
Alex,2012,Brazil,1977-09-14 00:00:00,Midfield,left,176.0,,500000.0,14000000.0
François Modesto,2015,France,1978-08-19 00:00:00,Defender,right,183.0,,250000.0,4000000.0
Álvaro Negredo,2023,Spain,1985-08-20 00:00:00,Attack,left,186.0,,300000.0,27000000.0
Agus García,2018,Spain,1985-05-03 00:00:00,Defender,left,188.0,,225000.0,1200000.0
Julien Ielsch,2017,France,1983-03-05 00:00:00,Defender,left,173.0,,250000.0,625000.0
Vágner Love,2021,Brazil,1984-06-11 00:00:00,Attack,both,172.0,2023-12-31 00:00:00,250000.0,22000000.0
Tim Hoogland,2013,Germany,1985-06-11 00:00:00,Defender,right,183.0,,300000.0,3500000.0
Liam Lawrence,2013,England,1981-12-14 00:00:00,Midfield,right,178.0,,300000.0,3000000.0
Tony,2013,France,1980-12-20 00:00:00,Defender,right,174.0,,300000.0,1700000.0
Benjamin Nicaise,2012,France,1980-09-28 00:00:00,Midfield,right,184.0,,350000.0,900000.0
Hatem Ben Arfa,2021,France,1987-03-07 00:00:00,Midfield,left,179.0,,200000.0,14000000.0
Jérémy Clément,2016,France,1984-08-26 00:00:00,Midfield,left,180.0,,200000.0,6000000.0
Jimmy Briand,2021,France,1985-08-02 00:00:00,Attack,right,181.0,,600000.0,9000000.0
Yoann Gourcuff,2018,France,1986-07-11 00:00:00,Midfield,right,185.0,,2000000.0,24000000.0
Karim Benzema,2022,France,1987-12-19 00:00:00,Attack,right,185.0,2026-06-30 00:00:00,15000000.0,60000000.0
Thomas Mangani,2022,France,1987-04-29 00:00:00,Midfield,left,183.0,2024-06-30 00:00:00,300000.0,3500000.0
Samir Nasri,2019,France,1987-06-26 00:00:00,Midfield,right,177.0,,1600000.0,26000000.0
Rémy Riou,2023,France,1987-08-06 00:00:00,Goalkeeper,right,191.0,2025-06-30 00:00:00,250000.0,4000000.0
Gerard Piqué,2022,Spain,1987-02-02 00:00:00,Defender,right,194.0,,3000000.0,50000000.0
Steven Thicot,2016,France,1987-02-14 00:00:00,Defender,right,186.0,2023-05-31 00:00:00,225000.0,700000.0
Renaud Cohade,2019,France,1984-09-29 00:00:00,Midfield,right,181.0,,400000.0,4000000.0
Alexandre D'Acol,2017,Brazil,1986-07-18 00:00:00,Attack,both,184.0,,200000.0,550000.0
Rodrigo Defendi,2018,Brazil,1986-06-16 00:00:00,Defender,right,190.0,,50000.0,900000.0
Georgios Georgiou,2013,Germany,1979-09-24 00:00:00,Defender,both,191.0,,100000.0,500000.0
David Sauget,2013,France,1979-11-23 00:00:00,Defender,right,175.0,,25000.0,2500000.0
Heurelho Gomes,2019,Brazil,1981-02-15 00:00:00,Goalkeeper,right,191.0,,400000.0,10000000.0
Marouane Chamakh,2015,France,1984-01-10 00:00:00,Attack,right,188.0,,2000000.0,17000000.0
Nadson,2018,Brazil,1984-10-18 00:00:00,Defender,left,190.0,,25000.0,1200000.0
Christian Gentner,2020,Germany,1985-08-14 00:00:00,Midfield,right,189.0,,100000.0,7500000.0
Landry Bonnefoi,2017,France,1983-09-20 00:00:00,Goalkeeper,right,184.0,,100000.0,600000.0
Dennis Aogo,2018,Germany,1987-01-14 00:00:00,Defender,left,184.0,,475000.0,8000000.0
Karim Matmour,2012,France,1985-06-25 00:00:00,Attack,,,,200000.0,2500000.0
Santos,2012,Brazil,1981-08-18 00:00:00,Defender,left,184.0,,200000.0,850000.0
Emmerson Boyce,2012,England,1979-09-24 00:00:00,Defender,right,180.0,,200000.0,3500000.0
Dominik Stroh-Engel,2016,Germany,1985-11-27 00:00:00,Attack,right,197.0,2024-06-30 00:00:00,50000.0,900000.0
Raffael,2019,Brazil,1985-03-28 00:00:00,Attack,right,174.0,,75000.0,10000000.0
Júlio Sérgio,2013,Brazil,1978-11-08 00:00:00,Goalkeeper,right,187.0,,100000.0,4500000.0
David Barral,2016,Spain,1983-05-10 00:00:00,Attack,right,180.0,,50000.0,3400000.0
Gladstone,2014,Brazil,1985-01-29 00:00:00,Defender,right,183.0,,300000.0,3500000.0
Artur Moraes,2017,Brazil,1981-01-25 00:00:00,Goalkeeper,right,193.0,,100000.0,6000000.0
Jussiê,2015,Brazil,1983-09-19 00:00:00,Midfield,right,181.0,,500000.0,6250000.0
Tobias Weis,2013,Germany,,Midfield,both,170.0,,300000.0,3500000.0
Corentin Jean,2021,France,1995-07-15 00:00:00,Attack,right,170.0,2024-12-31 00:00:00,1000000.0,4000000.0
Arnold Mvuemba,2016,France,1985-01-28 00:00:00,Midfield,right,172.0,,200000.0,5000000.0
Rafik Djebbour,2015,France,1984-03-08 00:00:00,Attack,both,185.0,,250000.0,6000000.0
Ron-Robert Zieler,2020,Germany,1989-02-12 00:00:00,Goalkeeper,right,188.0,2024-06-30 00:00:00,700000.0,9500000.0
Alexander Stephan,2013,Germany,1986-09-15 00:00:00,Goalkeeper,,,,50000.0,400000.0
Wederson,2015,Brazil,1981-07-22 00:00:00,Defender,left,176.0,,50000.0,3500000.0
Tita,2015,Brazil,1981-07-20 00:00:00,Attack,right,165.0,,50000.0,3000000.0
Peter Franquart,2013,France,1985-05-04 00:00:00,Defender,left,182.0,,200000.0,1000000.0
Scott Brown,2015,England,1985-04-26 00:00:00,Goalkeeper,right,184.0,,100000.0,250000.0
Filipe Luís,2018,Brazil,1985-08-09 00:00:00,Defender,left,182.0,2023-12-31 00:00:00,300000.0,25000000.0
Philipp Tschauner,2021,Germany,1985-11-03 00:00:00,Goalkeeper,right,196.0,,300000.0,1500000.0
Franck Ribéry,2022,France,1983-04-07 00:00:00,Attack,right,170.0,,1000000.0,50000000.0
Abdoulay Konko,2016,France,1984-03-09 00:00:00,Defender,right,184.0,,500000.0,8000000.0
Charles N'Zogbia,2015,France,1986-05-28 00:00:00,Attack,left,171.0,,1000000.0,12000000.0
Fabien Camus,2017,France,1985-02-28 00:00:00,Midfield,right,176.0,,250000.0,2500000.0
Léo Matos,2020,Brazil,1986-04-02 00:00:00,Defender,right,184.0,,200000.0,2000000.0
Moussa Sow,2017,France,1986-01-19 00:00:00,Attack,right,180.0,,100000.0,16000000.0
Daniel Congré,2020,France,1985-04-05 00:00:00,Defender,right,185.0,2023-06-30 00:00:00,200000.0,4500000.0
Bafétimbi Gomis,2022,France,1985-08-06 00:00:00,Attack,right,184.0,,650000.0,14000000.0
Loïc Perrin,2019,France,1985-08-07 00:00:00,Defender,right,181.0,,1200000.0,8000000.0
Adil Hermach,2012,France,1986-06-27 00:00:00,Missing,right,177.0,,350000.0,3200000.0
Alexis Thébaux,2016,France,1985-03-17 00:00:00,Goalkeeper,right,185.0,,400000.0,3000000.0
Júlio César,2017,Brazil,1979-09-03 00:00:00,Goalkeeper,left,186.0,,750000.0,25000000.0
Jens Wemmer,2016,Germany,1985-10-31 00:00:00,Defender,right,186.0,,100000.0,1000000.0
Weligton,2016,Brazil,1979-08-26 00:00:00,Defender,left,186.0,,500000.0,4000000.0
Juanlu,2013,Spain,1980-05-18 00:00:00,Midfield,left,172.0,,300000.0,2500000.0
Toché,2014,Spain,1983-01-01 00:00:00,Attack,right,185.0,,50000.0,2000000.0
Franck Berrier,2017,France,1984-02-02 00:00:00,Midfield,right,175.0,,150000.0,3000000.0
Benoît Costil,2023,France,1987-07-03 00:00:00,Goalkeeper,right,188.0,,600000.0,8000000.0
Yohann Eudeline,2015,France,1982-06-23 00:00:00,Attack,right,181.0,,250000.0,2000000.0
Cédric Hengbart,2013,France,1980-07-13 00:00:00,Defender,right,183.0,,350000.0,4000000.0
Reynald Lemaître,2016,France,1983-06-28 00:00:00,Defender,left,175.0,,250000.0,2000000.0
Benoît Lesoimier,2012,France,1983-02-21 00:00:00,Attack,right,173.0,,50000.0,2250000.0
Nicolas Seube,2016,France,1979-08-11 00:00:00,Midfield,right,180.0,,200000.0,2000000.0
William,2016,Brazil,1985-02-07 00:00:00,Defender,,185.0,,25000.0,350000.0
Guly,2013,Brazil,1981-12-31 00:00:00,Midfield,right,189.0,,500000.0,2300000.0
Ferreira Pinto,2012,Brazil,1979-12-10 00:00:00,Attack,right,178.0,2024-06-30 00:00:00,10000.0,6500000.0
Alexandre Alphonse,2012,France,1982-06-17 00:00:00,Attack,right,174.0,,150000.0,1500000.0
Túlio de Melo,2013,Brazil,1985-01-31 00:00:00,Attack,right,193.0,,900000.0,7000000.0
Dudu Cearense,2013,Brazil,1983-04-15 00:00:00,Midfield,right,188.0,,400000.0,8000000.0
Thiago Ribeiro,2012,Brazil,1986-02-24 00:00:00,Attack,right,183.0,,150000.0,3500000.0
Gabi,2017,Spain,1983-07-10 00:00:00,Midfield,right,181.0,,1100000.0,12000000.0
Rubén Pulido,2013,Spain,1979-02-02 00:00:00,Defender,right,187.0,,200000.0,3000000.0
Riki,2014,Spain,1980-08-11 00:00:00,Attack,left,187.0,,500000.0,6000000.0
Javier Garrido,2015,Spain,1985-03-15 00:00:00,Defender,left,179.0,,100000.0,4500000.0
Mikel Labaka,2012,Spain,1980-08-10 00:00:00,Defender,right,185.0,,500000.0,1600000.0
Nacho,2013,Spain,1980-06-24 00:00:00,Defender,left,174.0,,1200000.0,2500000.0
Alberto Rivera,2013,Spain,1978-02-16 00:00:00,Midfield,both,167.0,,200000.0,3000000.0
Asier Riesgo,2018,Spain,1983-10-06 00:00:00,Goalkeeper,right,185.0,2023-06-30 00:00:00,100000.0,4000000.0
Barreto,2014,Brazil,1985-07-12 00:00:00,Attack,right,171.0,,25000.0,8000000.0
Reginaldo,2012,Brazil,1983-07-31 00:00:00,Attack,right,175.0,2024-06-30 00:00:00,10000.0,3500000.0
Lennart Thy,2023,Germany,1992-02-25 00:00:00,Attack,right,184.0,2026-06-30 00:00:00,600000.0,1000000.0
Yoan Gouffran,2018,France,1986-05-25 00:00:00,Attack,right,175.0,,150000.0,9000000.0
Fatih Atik,2016,France,1984-06-25 00:00:00,Midfield,right,174.0,,50000.0,1250000.0
Sekou Baradji,2017,France,1984-04-24 00:00:00,Midfield,left,183.0,,200000.0,1000000.0
Olivier Blondel,2013,France,1979-07-09 00:00:00,Goalkeeper,right,187.0,,400000.0,1000000.0
Laurent Bonnart,2013,France,1979-12-25 00:00:00,Defender,both,171.0,,250000.0,4500000.0
Lassana Diarra,2018,France,1985-03-10 00:00:00,Midfield,right,173.0,,2500000.0,24000000.0
David Ducourtioux,2015,France,1978-04-11 00:00:00,Defender,right,177.0,,250000.0,2500000.0
Geoffrey Jourdren,2016,France,1986-02-04 00:00:00,Goalkeeper,right,183.0,,1000000.0,5000000.0
Christophe Mandanne,2016,France,1985-02-07 00:00:00,Attack,right,172.0,,400000.0,2000000.0
Joris Marveaux,2016,France,1982-08-15 00:00:00,Midfield,right,179.0,,200000.0,3500000.0
Jérémy Morel,2021,France,1984-04-02 00:00:00,Defender,left,172.0,,300000.0,3500000.0
Jérémy Perbet,2020,France,1984-12-12 00:00:00,Attack,right,184.0,2024-06-30 00:00:00,150000.0,2500000.0
Romain Salin,2022,France,1984-07-29 00:00:00,Goalkeeper,left,186.0,,150000.0,2200000.0
Richard Soumah,2013,France,1986-10-06 00:00:00,Defender,left,179.0,,100000.0,1800000.0
Simon Pouplin,2017,France,1985-05-28 00:00:00,Goalkeeper,,,,500000.0,4250000.0
Cleyton,2014,Brazil,1983-03-08 00:00:00,Midfield,both,175.0,,100000.0,2800000.0
Eduardo,2016,Brazil,1983-02-25 00:00:00,Attack,left,177.0,,750000.0,13000000.0
David Jones,2016,England,1984-11-04 00:00:00,Midfield,left,183.0,,350000.0,2500000.0
Chris Eagles,2017,England,1985-11-19 00:00:00,Attack,right,183.0,,225000.0,5500000.0
David Cerra,2013,Spain,1983-08-04 00:00:00,Defender,right,177.0,,100000.0,900000.0
Evaldo,2015,Brazil,1982-03-18 00:00:00,Defender,left,183.0,,50000.0,4200000.0
Rovérsio,2012,Brazil,1984-01-17 00:00:00,Defender,right,187.0,,150000.0,1800000.0
Bruno Grougi,2012,France,1983-04-26 00:00:00,Midfield,right,173.0,,500000.0,3500000.0
Rubén Castro,2017,Spain,1981-06-27 00:00:00,Attack,right,169.0,2023-06-30 00:00:00,100000.0,4500000.0
Momo,2017,Spain,1982-07-15 00:00:00,Attack,left,178.0,,100000.0,3000000.0
Michael Kightly,2016,England,1986-01-24 00:00:00,Attack,right,173.0,,500000.0,4500000.0
Orestes,2013,Brazil,1981-03-24 00:00:00,Defender,,,,400000.0,2000000.0
Javier Arizmendi,2012,Spain,1984-03-03 00:00:00,Attack,right,191.0,,600000.0,9000000.0
Pedro López,2020,Spain,1983-11-01 00:00:00,Defender,right,174.0,,100000.0,3000000.0
Fernando Marqués,2012,Spain,1984-12-04 00:00:00,Attack,right,177.0,,200000.0,1800000.0
Javier Flaño,2016,Spain,1984-08-19 00:00:00,Defender,right,177.0,,100000.0,7000000.0
Sebastian Freis,2014,Germany,1985-04-23 00:00:00,Attack,,,,150000.0,2200000.0
Sergio Ramos,2023,Spain,1986-03-30 00:00:00,Defender,right,184.0,,2500000.0,50000000.0
Rodolfo,2018,Brazil,1982-10-23 00:00:00,Defender,left,185.0,,25000.0,5300000.0
Grégory Arnolin,2013,France,1980-11-10 00:00:00,Defender,right,187.0,,200000.0,4000000.0
Joe Lewis,2022,England,1987-10-06 00:00:00,Goalkeeper,right,198.0,,300000.0,1200000.0
Eduardo Brito,2016,Brazil,1982-09-21 00:00:00,Attack,both,178.0,,50000.0,800000.0
Miguel Ángel Moyá,2020,Spain,1984-04-02 00:00:00,Goalkeeper,right,189.0,,800000.0,7000000.0
Iván Ramis,2019,Spain,1984-10-25 00:00:00,Defender,right,189.0,,650000.0,6000000.0
Lino,2014,Brazil,1977-06-01 00:00:00,Defender,left,187.0,,250000.0,1500000.0
Cicinho,2015,Brazil,1980-06-24 00:00:00,Defender,right,171.0,,100000.0,15000000.0
Juanjo Camacho,2018,Spain,1980-08-02 00:00:00,Midfield,left,180.0,,100000.0,1500000.0
Alberto Zapater,2014,Spain,1985-06-13 00:00:00,Midfield,right,180.0,2023-06-30 00:00:00,50000.0,8000000.0
Verza,2017,Spain,1986-09-29 00:00:00,Missing,right,181.0,,100000.0,3500000.0
Diego,2016,Brazil,1979-05-11 00:00:00,Goalkeeper,right,188.0,,50000.0,1200000.0
Pedro Botelho,2015,Brazil,1989-12-14 00:00:00,Defender,left,186.0,2023-09-30 00:00:00,550000.0,1500000.0
Fernandinho,2021,Brazil,1985-05-04 00:00:00,Midfield,right,179.0,2024-12-31 00:00:00,600000.0,32000000.0
Óscar Serrano,2012,Spain,1981-09-30 00:00:00,Midfield,left,178.0,,200000.0,5000000.0
Jérôme Boateng,2023,Germany,1988-09-03 00:00:00,Defender,right,192.0,2026-06-30 00:00:00,400000.0,45000000.0
Chinedu Ede,2016,Germany,1987-02-05 00:00:00,Attack,,,,125000.0,1250000.0
Abou Diaby,2016,France,1986-05-11 00:00:00,Midfield,right,191.0,,250000.0,9000000.0
Bacary Sagna,2017,France,1983-02-14 00:00:00,Defender,right,176.0,,500000.0,19000000.0
Julien Gorius,2015,France,1985-03-17 00:00:00,Midfield,right,183.0,,150000.0,3000000.0
Younès Kaboul,2017,France,1986-01-04 00:00:00,Defender,right,192.0,,1500000.0,15000000.0
Benjamin Psaume,2012,France,1985-01-12 00:00:00,Attack,right,170.0,,250000.0,1250000.0
Jajá,2016,Brazil,1986-02-28 00:00:00,Attack,left,190.0,,250000.0,6500000.0
Gerson Magrão,2013,Brazil,1985-06-13 00:00:00,Midfield,left,181.0,,200000.0,4000000.0
Mathieu Bodmer,2019,France,1982-11-22 00:00:00,Midfield,right,190.0,,250000.0,13000000.0
Mathieu Debuchy,2020,France,1985-07-28 00:00:00,Defender,right,177.0,2023-06-30 00:00:00,300000.0,15000000.0
Nicolas Fauvergue,2013,France,1984-10-13 00:00:00,Attack,right,193.0,,250000.0,3000000.0
Marcelo Boeck,2015,Brazil,1984-11-28 00:00:00,Goalkeeper,right,191.0,,200000.0,1800000.0
Muriel,2018,Brazil,1987-02-14 00:00:00,Goalkeeper,left,189.0,2024-05-31 00:00:00,250000.0,2000000.0
Marcelo Labarthe,2012,Brazil,1984-08-12 00:00:00,Midfield,right,174.0,,200000.0,400000.0
João Guilherme,2012,Brazil,1986-04-21 00:00:00,Defender,right,184.0,,450000.0,1900000.0
Sidnei,2021,Brazil,1989-08-23 00:00:00,Defender,right,184.0,2023-06-30 00:00:00,250000.0,10000000.0
Cleiton Xavier,2014,Brazil,1983-03-23 00:00:00,Midfield,both,179.0,,900000.0,9000000.0
Kévin Gameiro,2023,France,1987-05-09 00:00:00,Attack,right,172.0,,700000.0,25000000.0
Florent Ghisolfi,2013,France,1985-02-28 00:00:00,Midfield,right,175.0,,300000.0,600000.0
Diego Capel,2016,Spain,1988-02-16 00:00:00,Attack,left,173.0,,50000.0,14000000.0
Kiko Casilla,2022,Spain,1986-10-02 00:00:00,Goalkeeper,right,190.0,,300000.0,7500000.0
Francisco Molinero,2017,Spain,1985-07-26 00:00:00,Defender,right,177.0,,150000.0,1500000.0
Braulio Nóbrega,2015,Spain,1985-09-18 00:00:00,Attack,right,178.0,,100000.0,1600000.0
Jean-Louis Leca,2023,France,1985-09-21 00:00:00,Goalkeeper,right,180.0,,200000.0,1300000.0
Iván Cuéllar,2024,Spain,1984-05-27 00:00:00,Goalkeeper,left,187.0,2025-06-30 00:00:00,100000.0,2500000.0
Lee Croft,2014,England,1985-06-21 00:00:00,Midfield,right,177.0,,350000.0,1250000.0
Gary Cahill,2020,England,1985-12-19 00:00:00,Defender,right,193.0,,400000.0,20000000.0
Stephan Schröck,2013,Germany,1986-08-21 00:00:00,Midfield,right,170.0,,200000.0,2000000.0
James Morrison,2017,England,1986-05-25 00:00:00,Midfield,right,183.0,,1500000.0,7500000.0
Martin Cranie,2017,England,1986-09-26 00:00:00,Defender,right,183.0,,250000.0,1000000.0
Vitolo,2013,Spain,1983-09-09 00:00:00,Midfield,right,168.0,2023-06-30 00:00:00,100000.0,4000000.0
Jesús Vázquez,2012,Spain,1980-01-18 00:00:00,Midfield,right,183.0,,50000.0,3400000.0
Jay Emmanuel-Thomas,2021,England,1990-12-27 00:00:00,Midfield,left,191.0,2023-05-31 00:00:00,250000.0,1250000.0
David Raven,2016,England,1985-03-10 00:00:00,Defender,right,183.0,,300000.0,350000.0
Damià Abella,2013,Spain,1982-04-15 00:00:00,Defender,both,188.0,,350000.0,3400000.0
Javito,2015,Spain,1983-11-04 00:00:00,Attack,right,175.0,2023-06-30 00:00:00,100000.0,2500000.0
Joan Verdú,2015,Spain,1983-05-05 00:00:00,Midfield,right,172.0,,50000.0,7000000.0
Álvaro Arbeloa,2016,Spain,1983-01-17 00:00:00,Defender,right,184.0,,1500000.0,12000000.0
José Manuel Jurado,2017,Spain,1986-06-29 00:00:00,Midfield,right,176.0,,650000.0,13000000.0
Dani Pacheco,2017,Spain,1991-01-05 00:00:00,Midfield,both,168.0,2024-06-30 00:00:00,200000.0,1500000.0
Gennaro Bracigliano,2013,France,1980-03-01 00:00:00,Goalkeeper,right,183.0,,250000.0,5000000.0
Jonathan Brison,2015,France,1983-02-07 00:00:00,Defender,left,179.0,,200000.0,2300000.0
Julien Féret,2017,France,1982-07-05 00:00:00,Midfield,right,187.0,,300000.0,5500000.0
Christophe Jallet,2019,France,1983-10-31 00:00:00,Defender,right,178.0,,250000.0,6500000.0
Jérémy Sapina,2013,France,1985-02-01 00:00:00,Defender,right,187.0,,450000.0,800000.0
Olivier Sorin,2015,France,1981-04-16 00:00:00,Goalkeeper,right,188.0,,250000.0,5000000.0
Diego León,2012,Spain,1984-01-16 00:00:00,Midfield,,,,150000.0,1000000.0
David Gigliotti,2012,France,1985-05-30 00:00:00,Attack,right,178.0,,150000.0,1750000.0
Romeu,2015,Brazil,1985-02-13 00:00:00,Midfield,both,179.0,,450000.0,1500000.0
Sanel Jahic,2015,France,1981-12-10 00:00:00,Defender,right,185.0,,25000.0,2000000.0
Lewis Guy,2012,England,1985-08-22 00:00:00,Attack,right,175.0,,150000.0,800000.0
Peter Ramage,2014,England,1983-11-22 00:00:00,Defender,right,185.0,,150000.0,2000000.0
Gonzalo Castro,2021,Germany,1987-06-11 00:00:00,Midfield,right,172.0,,500000.0,15000000.0
Liam Fontaine,2021,England,1986-01-07 00:00:00,Defender,left,188.0,2023-05-31 00:00:00,125000.0,1250000.0
Sol Bamba,2018,France,1985-01-13 00:00:00,Defender,right,190.0,,250000.0,2500000.0
Christopher Samba,2016,France,1984-03-28 00:00:00,Defender,,,,1000000.0,15000000.0
Ederson,2014,Brazil,1986-01-13 00:00:00,Midfield,right,181.0,,700000.0,11000000.0
Manolo Reina,2021,Spain,1985-04-01 00:00:00,Goalkeeper,right,186.0,2024-06-30 00:00:00,200000.0,2000000.0
Jesús Gámez,2017,Spain,1985-04-10 00:00:00,Defender,right,177.0,,2000000.0,6000000.0
César Navas,2018,Spain,1980-02-14 00:00:00,Defender,right,197.0,,100000.0,6500000.0
Javier Baraja,2013,Spain,1980-08-24 00:00:00,Midfield,right,179.0,,400000.0,1200000.0
Abel Gómez,2014,Spain,1982-02-20 00:00:00,Midfield,right,181.0,,50000.0,2000000.0
Fernando Usero,2015,Spain,1984-03-27 00:00:00,Midfield,right,178.0,,50000.0,1500000.0
Nenê,2014,Brazil,1981-07-19 00:00:00,Midfield,left,181.0,2023-11-30 00:00:00,200000.0,14000000.0
Manolo Martínez,2013,Spain,1980-06-15 00:00:00,Defender,right,183.0,,100000.0,1400000.0
Igor Angulo,2015,Spain,1984-01-26 00:00:00,Attack,left,183.0,,125000.0,500000.0
